  10/960局 行1275（main 765） 棄却0 246s
  20/960局 行2593（main 1564） 棄却1 518s
  30/960局 行3793（main 2292） 棄却1 710s
  40/960局 行5145（main 3089） 棄却1 1086s
  50/960局 行6416（main 3865） 棄却1 1281s
  60/960局 行7863（main 4766） 棄却1 1568s
  70/960局 行9141（main 5519） 棄却1 1842s
  80/960局 行10496（main 6338） 棄却1 2023s
  90/960局 行11985（main 7278） 棄却1 2313s
  100/960局 行13499（main 8208） 棄却1 2517s
  110/960局 行15018（main 9076） 棄却1 2882s
  120/960局 行16599（main 10004） 棄却1 3222s
  130/960局 行17945（main 10821） 棄却1 3441s
  140/960局 行19233（main 11631） 棄却1 3697s
  150/960局 行20772（main 12612） 棄却1 4055s
  160/960局 行22387（main 13572） 棄却1 4315s
  170/960局 行23706（main 14356） 棄却1 4565s
  180/960局 行25247（main 15292） 棄却1 4886s
  190/960局 行26802（main 16251） 棄却1 5101s
  200/960局 行28210（main 17108） 棄却1 5355s
  210/960局 行29526（main 17919） 棄却1 5572s
  220/960局 行30855（main 18739） 棄却1 5790s
  230/960局 行32300（main 19562） 棄却1 6072s
  240/960局 行33692（main 20433） 棄却1 6339s
  250/960局 行35280（main 21406） 棄却1 6673s
  260/960局 行36763（main 22291） 棄却1 6902s
  270/960局 行38205（main 23180） 棄却1 7232s
  280/960局 行39755（main 24133） 棄却1 7587s
  290/960局 行41150（main 24997） 棄却1 7772s
  300/960局 行42620（main 25841） 棄却1 8025s
  310/960局 行44004（main 26727） 棄却1 8275s
  320/960局 行45460（main 27588） 棄却1 8562s
  330/960局 行46738（main 28372） 棄却1 8881s
  340/960局 行48073（main 29171） 棄却1 9083s
  350/960局 行49378（main 29947） 棄却1 9315s
  360/960局 行50624（main 30726） 棄却1 9530s
  370/960局 行52144（main 31664） 棄却1 9833s
  380/960局 行53443（main 32442） 棄却1 10015s
  390/960局 行54760（main 33231） 棄却1 10255s
  400/960局 行56118（main 34039） 棄却1 10461s
  410/960局 行57761（main 35069） 棄却1 10723s
  420/960局 行59124（main 35890） 棄却1 10999s
  430/960局 行60666（main 36877） 棄却1 11266s
  440/960局 行62111（main 37743） 棄却1 11530s
  450/960局 行63400（main 38570） 棄却1 11761s
  460/960局 行64604（main 39336） 棄却1 11956s
  470/960局 行65962（main 40177） 棄却1 12192s
  480/960局 行67339（main 41026） 棄却1 12514s
  490/960局 行69011（main 42043） 棄却1 12895s
  500/960局 行70335（main 42824） 棄却2 13137s
  510/960局 行71868（main 43716） 棄却2 13425s
  520/960局 行73284（main 44596） 棄却2 13687s
  530/960局 行74757（main 45490） 棄却2 14053s
  540/960局 行76091（main 46312） 棄却2 14353s
  550/960局 行77617（main 47214） 棄却2 14596s
  560/960局 行78946（main 48029） 棄却2 14872s
  570/960局 行80178（main 48773） 棄却2 15092s
  580/960局 行81475（main 49566） 棄却2 15312s
  590/960局 行82952（main 50478） 棄却2 15567s
  600/960局 行84417（main 51350） 棄却2 15828s
  610/960局 行85882（main 52250） 棄却2 16050s
  620/960局 行87154（main 52956） 棄却2 16378s
  630/960局 行88681（main 53844） 棄却2 16610s
  640/960局 行90175（main 54728） 棄却2 16899s
  650/960局 行91656（main 55647） 棄却2 17178s
  660/960局 行93165（main 56536） 棄却2 17514s
  670/960局 行94650（main 57433） 棄却2 17788s
  680/960局 行96343（main 58421） 棄却2 18071s
  690/960局 行97765（main 59292） 棄却2 18325s
  700/960局 行99084（main 60130） 棄却2 18523s
  710/960局 行100472（main 60962） 棄却2 18735s
  720/960局 行101970（main 61855） 棄却2 19004s
  730/960局 行103426（main 62709） 棄却2 19253s
  740/960局 行104779（main 63498） 棄却2 19513s
  750/960局 行106071（main 64214） 棄却2 19755s
  760/960局 行107417（main 65031） 棄却2 20033s
  770/960局 行108720（main 65857） 棄却2 20292s
  780/960局 行110012（main 66677） 棄却2 20523s
  790/960局 行111421（main 67546） 棄却2 20763s
  800/960局 行112749（main 68369） 棄却2 20996s
  810/960局 行113975（main 69130） 棄却2 21206s
  820/960局 行115449（main 70005） 棄却2 21456s
  830/960局 行116892（main 70884） 棄却2 21753s
  840/960局 行118281（main 71695） 棄却2 22088s
  850/960局 行119812（main 72627） 棄却2 22279s
  860/960局 行121274（main 73529） 棄却2 22588s
  870/960局 行122677（main 74395） 棄却2 22845s
  880/960局 行124405（main 75446） 棄却2 23109s
  890/960局 行125900（main 76376） 棄却2 23323s
  900/960局 行127374（main 77236） 棄却2 23554s
  910/960局 行128660（main 78016） 棄却2 23782s
  920/960局 行130161（main 78940） 棄却2 24054s
  930/960局 行131479（main 79769） 棄却2 24277s
  940/960局 行132849（main 80596） 棄却2 24549s
  950/960局 行134359（main 81514） 棄却2 24832s
  960/960局 行135924（main 82463） 棄却2 25077s
N_RECORD_DONE {"rows": 135924, "main_rows": 82463, "dropped": 2}
