07:20:42 t=0s rss_kb=7340 hwm_kb=7760 anon_kb=3284 memavail_kb=15701824
07:20:52 t=10s rss_kb=142204 hwm_kb=164776 anon_kb=55780 memavail_kb=15656204
07:21:02 t=20s rss_kb=143672 hwm_kb=165104 anon_kb=55720 memavail_kb=15656976
07:21:12 t=30s rss_kb=220648 hwm_kb=220648 anon_kb=59656 memavail_kb=15654624
07:21:22 t=40s rss_kb=72048 hwm_kb=260696 anon_kb=54408 memavail_kb=15646016
07:21:32 t=50s rss_kb=258644 hwm_kb=260696 anon_kb=61504 memavail_kb=15691708
07:21:42 t=60s rss_kb=259484 hwm_kb=260696 anon_kb=61612 memavail_kb=15697960
07:21:52 t=70s rss_kb=173400 hwm_kb=260696 anon_kb=155468 memavail_kb=15584064
07:22:02 t=80s rss_kb=223344 hwm_kb=260696 anon_kb=205412 memavail_kb=15532376
07:22:12 t=90s rss_kb=276372 hwm_kb=276372 anon_kb=258440 memavail_kb=15492976
07:22:22 t=100s rss_kb=323484 hwm_kb=323484 anon_kb=305552 memavail_kb=15445256
07:22:32 t=110s rss_kb=370684 hwm_kb=381972 anon_kb=352752 memavail_kb=15385280
07:22:42 t=120s rss_kb=1023712 hwm_kb=1023800 anon_kb=786544 memavail_kb=14954008
07:22:52 t=130s rss_kb=3924072 hwm_kb=3924072 anon_kb=1099656 memavail_kb=14634500
07:23:03 t=141s rss_kb=12340888 hwm_kb=12340888 anon_kb=6854156 memavail_kb=8831836
07:23:13 t=151s rss_kb=12341268 hwm_kb=12341268 anon_kb=6854536 memavail_kb=8861332
07:23:23 t=161s rss_kb=12341280 hwm_kb=12357308 anon_kb=6854548 memavail_kb=8843468
07:23:33 t=171s rss_kb=12341392 hwm_kb=12357308 anon_kb=6854660 memavail_kb=8864576
07:23:43 t=181s rss_kb=12341412 hwm_kb=12357520 anon_kb=6854680 memavail_kb=8853184
07:23:53 t=191s rss_kb=12341432 hwm_kb=12357520 anon_kb=6854700 memavail_kb=8830952
07:24:03 t=201s rss_kb=12341444 hwm_kb=12357520 anon_kb=6854712 memavail_kb=8830404
07:24:13 t=211s rss_kb=12341456 hwm_kb=12357520 anon_kb=6854724 memavail_kb=8847688
07:24:23 t=221s rss_kb=12341472 hwm_kb=12357520 anon_kb=6854740 memavail_kb=8853732
07:24:33 t=231s rss_kb=12341488 hwm_kb=12357520 anon_kb=6854756 memavail_kb=8856500
07:24:43 t=241s rss_kb=12341492 hwm_kb=12357520 anon_kb=6854760 memavail_kb=8846352
07:24:53 t=251s rss_kb=12341492 hwm_kb=12357520 anon_kb=6854760 memavail_kb=8851392
07:25:03 t=261s rss_kb=12341492 hwm_kb=12357520 anon_kb=6854760 memavail_kb=8855412
07:25:13 t=271s rss_kb=12341492 hwm_kb=12357520 anon_kb=6854760 memavail_kb=8855288
07:25:23 t=281s rss_kb=12341492 hwm_kb=12357520 anon_kb=6854760 memavail_kb=8865788
07:25:33 t=291s rss_kb=12341492 hwm_kb=12357520 anon_kb=6854760 memavail_kb=8883388
07:25:43 t=301s rss_kb=12341492 hwm_kb=12357520 anon_kb=6854760 memavail_kb=8877620
07:25:53 t=311s rss_kb=12341492 hwm_kb=12357520 anon_kb=6854760 memavail_kb=8873652
07:26:03 t=321s rss_kb=12341492 hwm_kb=12357520 anon_kb=6854760 memavail_kb=8872016
07:26:14 t=332s rss_kb=12341492 hwm_kb=12357540 anon_kb=6854760 memavail_kb=8873616
07:26:24 t=342s rss_kb=12341496 hwm_kb=12357540 anon_kb=6854764 memavail_kb=8869520
07:26:34 t=352s rss_kb=12341500 hwm_kb=12357540 anon_kb=6854768 memavail_kb=8869520
07:26:44 t=362s rss_kb=12341500 hwm_kb=12357560 anon_kb=6854768 memavail_kb=8872284
07:26:54 t=372s rss_kb=12341500 hwm_kb=12357560 anon_kb=6854768 memavail_kb=8825356
07:27:04 t=382s rss_kb=12341500 hwm_kb=12357560 anon_kb=6854768 memavail_kb=8842944
07:27:14 t=392s rss_kb=12341500 hwm_kb=12357560 anon_kb=6854768 memavail_kb=8850640
07:27:24 t=402s rss_kb=12341500 hwm_kb=12357560 anon_kb=6854768 memavail_kb=8850232
07:27:34 t=412s rss_kb=12341500 hwm_kb=12357560 anon_kb=6854768 memavail_kb=8858164
07:27:44 t=422s rss_kb=12341500 hwm_kb=12357560 anon_kb=6854768 memavail_kb=8859168
07:27:54 t=432s rss_kb=12341500 hwm_kb=12357560 anon_kb=6854768 memavail_kb=8858020
07:28:04 t=442s rss_kb=12341500 hwm_kb=12357588 anon_kb=6854768 memavail_kb=8861888
07:28:14 t=452s rss_kb=12341500 hwm_kb=12357588 anon_kb=6854768 memavail_kb=8860300
07:28:24 t=462s rss_kb=12341500 hwm_kb=12357588 anon_kb=6854768 memavail_kb=8864176
07:28:34 t=472s rss_kb=12341500 hwm_kb=12357588 anon_kb=6854768 memavail_kb=8866200
07:28:44 t=482s rss_kb=12341500 hwm_kb=12357588 anon_kb=6854768 memavail_kb=8859176
07:28:54 t=492s rss_kb=12341500 hwm_kb=12357588 anon_kb=6854768 memavail_kb=8858672
07:29:05 t=503s rss_kb=12341500 hwm_kb=12357588 anon_kb=6854768 memavail_kb=8861860
07:29:15 t=513s rss_kb=12341500 hwm_kb=12357588 anon_kb=6854768 memavail_kb=8869912
07:29:25 t=523s rss_kb=12341500 hwm_kb=12357588 anon_kb=6854768 memavail_kb=8883072
07:29:35 t=533s rss_kb=12341500 hwm_kb=12357588 anon_kb=6854768 memavail_kb=8877288
07:29:45 t=543s rss_kb=12341500 hwm_kb=12357588 anon_kb=6854768 memavail_kb=8872668
07:29:55 t=553s rss_kb=12341500 hwm_kb=12357588 anon_kb=6854768 memavail_kb=8872668
07:30:05 t=563s rss_kb=12341500 hwm_kb=12357588 anon_kb=6854768 memavail_kb=8872472
07:30:15 t=573s rss_kb=12341500 hwm_kb=12357588 anon_kb=6854768 memavail_kb=8872416
07:30:25 t=583s rss_kb=12341500 hwm_kb=12357588 anon_kb=6854768 memavail_kb=8880676
07:30:35 t=593s rss_kb=12341500 hwm_kb=12357588 anon_kb=6854768 memavail_kb=8848892
07:30:55 t=613s rss_kb=12341500 hwm_kb=12357588 anon_kb=6854768 memavail_kb=8867292
07:31:15 t=633s rss_kb=12341504 hwm_kb=12357588 anon_kb=6854772 memavail_kb=8865184
07:31:35 t=653s rss_kb=12341504 hwm_kb=12357588 anon_kb=6854772 memavail_kb=8864428
07:31:55 t=673s rss_kb=12341504 hwm_kb=12357588 anon_kb=6854772 memavail_kb=8869636
07:32:15 t=693s rss_kb=12341504 hwm_kb=12357588 anon_kb=6854772 memavail_kb=8877004
07:32:35 t=713s rss_kb=12341504 hwm_kb=12357588 anon_kb=6854772 memavail_kb=8881780
07:32:55 t=733s rss_kb=12341504 hwm_kb=12357588 anon_kb=6854772 memavail_kb=8880824
07:33:15 t=753s rss_kb=12341504 hwm_kb=12357588 anon_kb=6854772 memavail_kb=8881660
07:33:36 t=774s rss_kb=12341504 hwm_kb=12357588 anon_kb=6854772 memavail_kb=8886252
07:33:56 t=794s rss_kb=12341504 hwm_kb=12357588 anon_kb=6854772 memavail_kb=8876648
07:34:16 t=814s rss_kb=12341504 hwm_kb=12357588 anon_kb=6854772 memavail_kb=8880956
07:34:36 t=834s rss_kb=12341504 hwm_kb=12357588 anon_kb=6854772 memavail_kb=8856544
07:34:56 t=854s rss_kb=12341504 hwm_kb=12357656 anon_kb=6854772 memavail_kb=8873636
07:35:16 t=874s rss_kb=12341504 hwm_kb=12357656 anon_kb=6854772 memavail_kb=8875896
07:35:36 t=894s rss_kb=12341504 hwm_kb=12357656 anon_kb=6854772 memavail_kb=8871408
07:35:56 t=914s rss_kb=12341504 hwm_kb=12357656 anon_kb=6854772 memavail_kb=8874548
07:36:16 t=934s rss_kb=12341504 hwm_kb=12357656 anon_kb=6854772 memavail_kb=8880952
07:36:36 t=954s rss_kb=12341504 hwm_kb=12357656 anon_kb=6854772 memavail_kb=8882048
07:36:56 t=974s rss_kb=12341504 hwm_kb=12357656 anon_kb=6854772 memavail_kb=8878620
07:37:16 t=994s rss_kb=12341504 hwm_kb=12357656 anon_kb=6854772 memavail_kb=8862676
07:37:36 t=1014s rss_kb=12341504 hwm_kb=12357656 anon_kb=6854772 memavail_kb=8885524
07:37:56 t=1034s rss_kb=12341504 hwm_kb=12357656 anon_kb=6854772 memavail_kb=8879800
07:38:16 t=1054s rss_kb=12341504 hwm_kb=12357656 anon_kb=6854772 memavail_kb=8855024
07:38:36 t=1074s rss_kb=12341504 hwm_kb=12357656 anon_kb=6854772 memavail_kb=8864984
07:38:56 t=1094s rss_kb=12341504 hwm_kb=12357656 anon_kb=6854772 memavail_kb=8868772
07:39:16 t=1114s rss_kb=12341504 hwm_kb=12357656 anon_kb=6854772 memavail_kb=8867236
07:39:37 t=1135s rss_kb=12341504 hwm_kb=12357656 anon_kb=6854772 memavail_kb=8874660
07:39:57 t=1155s rss_kb=12341504 hwm_kb=12357656 anon_kb=6854772 memavail_kb=8880940
07:40:17 t=1175s rss_kb=12341504 hwm_kb=12357656 anon_kb=6854772 memavail_kb=8872672
07:40:37 t=1195s rss_kb=12341504 hwm_kb=12357656 anon_kb=6854772 memavail_kb=8869712
07:40:57 t=1215s rss_kb=12341504 hwm_kb=12357656 anon_kb=6854772 memavail_kb=8879716
07:41:17 t=1235s rss_kb=12341504 hwm_kb=12357656 anon_kb=6854772 memavail_kb=8879660
07:41:37 t=1255s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8727196
07:41:57 t=1275s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8821544
07:42:17 t=1295s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8828200
07:42:37 t=1315s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8828280
07:42:57 t=1335s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8844436
07:43:17 t=1355s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8844648
07:43:37 t=1375s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8845300
07:43:57 t=1395s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8844988
07:44:17 t=1415s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8850372
07:44:37 t=1435s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8850824
07:44:57 t=1455s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8850376
07:45:17 t=1475s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8817064
07:45:38 t=1496s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8842188
07:45:58 t=1516s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8842696
07:46:18 t=1536s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8843236
07:46:38 t=1556s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8844028
07:46:58 t=1576s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8847512
07:47:18 t=1596s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8847816
07:47:38 t=1616s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8848888
07:47:58 t=1636s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8851264
07:48:18 t=1656s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8851564
07:48:38 t=1676s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8852728
07:48:58 t=1696s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8830840
07:49:18 t=1716s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8833956
07:49:38 t=1736s rss_kb=12287432 hwm_kb=12594808 anon_kb=6867208 memavail_kb=8833956
